date,Fear,Joy,Sadness,Surprise
2020_02_01,0.654,0.22,0.056,0.07
2020_02_02,0.76,0.16,0.04,0.04
2020_02_03,0.694,0.2,0.056,0.05
2020_02_04,0.746,0.146,0.064,0.044
2020_02_05,0.6404494382022472,0.24943820224719102,0.060674157303370786,0.04943820224719101
2020_02_06,0.5965770171149144,0.2713936430317848,0.07090464547677261,0.061124694376528114
2020_02_07,0.684,0.184,0.082,0.05
2020_02_08,0.6337719298245614,0.25219298245614036,0.06140350877192982,0.05263157894736842
2020_02_09,0.6804878048780488,0.22682926829268293,0.05365853658536585,0.03902439024390244
2020_02_10,0.6310679611650486,0.22815533980582525,0.07766990291262135,0.06310679611650485
2020_02_11,0.6200873362445415,0.23799126637554585,0.08733624454148471,0.05458515283842795
2020_02_12,0.6,0.22409638554216868,0.09397590361445783,0.0819277108433735
2020_02_13,0.6474820143884892,0.20863309352517986,0.07673860911270983,0.0671462829736211
2020_02_14,0.6005917159763313,0.27514792899408286,0.0621301775147929,0.0621301775147929
2020_02_15,0.6233333333333333,0.24333333333333335,0.08,0.05333333333333334
2020_02_16,0.6914600550964187,0.17079889807162535,0.06336088154269973,0.0743801652892562
2020_02_17,0.6818181818181818,0.20909090909090908,0.048484848484848485,0.06060606060606061
2020_02_18,0.6744186046511628,0.19601328903654486,0.0664451827242525,0.06312292358803986
2020_02_19,0.6536964980544747,0.22178988326848248,0.07003891050583658,0.054474708171206226
2020_02_20,0.6506024096385542,0.20883534136546184,0.07228915662650602,0.06827309236947791
2020_02_21,0.7045454545454546,0.15,0.05,0.09545454545454546
2020_02_22,0.726027397260274,0.20205479452054795,0.04452054794520548,0.0273972602739726
2020_02_23,0.6966292134831461,0.1797752808988764,0.06460674157303371,0.05898876404494382
2020_02_24,0.7161125319693095,0.17391304347826086,0.061381074168797956,0.04859335038363171
2020_02_25,0.7219730941704036,0.1547085201793722,0.07623318385650224,0.04708520179372197
2020_02_26,0.73,0.172,0.068,0.03
2020_02_27,0.742,0.152,0.046,0.06
2020_02_28,0.68,0.162,0.064,0.094
2020_02_29,0.696,0.156,0.066,0.082
2020_03_01,0.688,0.164,0.088,0.06
2020_03_02,0.666,0.178,0.068,0.088
2020_03_03,0.726,0.156,0.056,0.062
2020_03_04,0.658,0.184,0.084,0.074
