date,content
01/02/2020,"('wuhan', 67)
('china', 52)
('chinese', 49)
('people', 47)
('mask', 35)
('spread', 29)
('india', 27)
('health', 24)
('students', 22)
('#wuhan', 22)
('outbreak', 20)
('citizens', 20)
('face', 18)
('flight', 18)
('quarantine', 17)
('wear', 15)
('indian', 14)
('wuhan,', 14)
('air', 14)
('govt', 13)
"
02/02/2020,"('china', 98)
('meat', 79)
('eating', 70)
('people', 64)
('diseases', 38)
('god', 33)
('ji', 33)
('rampal', 32)
('wuhan', 32)
('mask', 30)
('india', 29)
('chinese', 29)
('watch', 27)
('tv', 25)
('sadhna', 24)
('spread', 23)
('students', 23)
('human', 21)
('wuhan.', 20)
('true', 20)
"
03/02/2020,"('china', 83)
('people', 50)
('wuhan', 39)
('india', 32)
('mask', 30)
('chinese', 26)
('spread', 24)
('students', 22)
('outbreak', 19)
('help', 18)
('health', 17)
('quarantine', 17)
('days', 17)
('#china', 16)
('cases', 15)
('spreading', 15)
('save', 14)
('hospital', 14)
('bring', 14)
('good', 14)
"
04/02/2020,"('china', 82)
('wuhan', 51)
('chinese', 43)
('people', 41)
('#coronavirusoutbreak', 25)
('cases', 23)
('india', 23)
('mask', 22)
('death', 22)
('outbreak', 21)
('diseases', 20)
('novel', 20)
('#coronaviruschina', 20)
('health', 18)
('infected', 18)
('#china', 16)
('students', 15)
('spread', 15)
('hospital', 15)
('small', 15)
"
05/02/2020,"('china', 54)
('mask', 46)
('people', 41)
('cases', 40)
('chinese', 36)
('wuhan', 32)
('news', 24)
('spread', 22)
('|', 19)
('hong', 17)
('outbreak', 15)
('good', 14)
('infected', 14)
('wear', 14)
('day', 14)
('#wuhan', 13)
('love', 13)
('quarantine', 13)
('number', 12)
('kong', 12)
"
06/02/2020,"('china', 55)
('chinese', 35)
('mask', 27)
('people', 26)
('wuhan', 24)
('cases', 20)
('meat', 19)
('novel', 18)
('eating', 16)
('outbreak', 15)
('hong', 14)
('death', 13)
('infected', 13)
('doctor', 12)
('#china', 11)
('disease', 11)
('news', 11)
('kong', 11)
('coronavirus:', 11)
('number', 10)
"
07/02/2020,"('china', 63)
('wuhan', 51)
('mask', 49)
('people', 45)
('chinese', 41)
('cases', 28)
('outbreak', 22)
('health', 22)
('death', 22)
('doctor', 22)
('novel', 20)
('#coronavirusoutbreak', 19)
('spread', 18)
('singapore', 18)
('face', 16)
('country', 16)
('news', 15)
('avoid', 14)
('#china', 14)
('patients', 14)
"
08/02/2020,"('people', 46)
('china', 43)
('mask', 33)
('chinese', 31)
('wuhan', 30)
('cases', 23)
('polio', 22)
('students', 20)
('spread', 20)
('novel', 20)
('singapore', 18)
('@pdchina', 18)
('help', 18)
('fight', 17)
('outbreak', 16)
('face', 16)
('fighting', 15)
('support', 14)
('china,', 14)
('indian', 13)
"
09/02/2020,"('china', 48)
('people', 30)
('mask', 28)
('chinese', 28)
('wuhan', 27)
('cases', 25)
('death', 20)
('protect', 16)
('help', 16)
('fight', 15)
('toll', 14)
('#china', 13)
('pm', 13)
('#wuhan', 13)
('health', 13)
('india', 13)
('it’s', 12)
('deaths', 12)
('confirmed', 12)
('singapore', 12)
"
10/02/2020,"('china', 53)
('mask', 32)
('people', 31)
('death', 19)
('it’s', 18)
('chinese', 18)
('cases', 18)
('indian', 18)
('novel', 17)
('spread', 17)
('wuhan', 17)
(':', 16)
('#china', 16)
('toll', 15)
('outbreak', 15)
('good', 13)
('news', 13)
('medical', 12)
('number', 12)
('students', 12)
"
