date,Fear,Joy,Sadness,Surprise
2020_02_01,0.73,0.172,0.054,0.044
2020_02_02,0.746268656716418,0.1701492537313433,0.03880597014925373,0.04477611940298507
2020_02_03,0.678,0.26,0.038,0.024
2020_02_04,0.586,0.36,0.026,0.028
2020_02_05,0.59,0.318,0.046,0.046
2020_02_06,0.632,0.242,0.044,0.082
2020_02_07,0.714,0.222,0.026,0.038
2020_02_08,0.688,0.256,0.032,0.024
2020_02_09,0.728,0.182,0.03,0.06
2020_02_10,0.662,0.28,0.028,0.03
2020_02_11,0.66,0.234,0.05,0.056
2020_02_12,0.506,0.452,0.02,0.022
2020_02_13,0.744,0.204,0.028,0.024
2020_02_14,0.684,0.238,0.056,0.022
2020_02_15,0.658,0.266,0.052,0.024
2020_02_16,0.716,0.22,0.05,0.014
2020_02_17,0.678,0.254,0.044,0.024
2020_02_18,0.66,0.266,0.046,0.028
2020_02_19,0.632,0.3,0.03,0.038
2020_02_20,0.638,0.274,0.06,0.028
2020_02_21,0.648,0.274,0.028,0.05
2020_02_22,0.706,0.224,0.02,0.05
2020_02_23,0.668,0.272,0.038,0.022
2020_02_24,0.614,0.312,0.046,0.028
2020_02_25,0.69,0.248,0.038,0.024
2020_02_26,0.712,0.222,0.042,0.024
2020_02_27,0.7,0.244,0.038,0.018
2020_02_28,0.668,0.246,0.058,0.028
2020_02_29,0.686,0.236,0.042,0.036
2020_03_01,0.76,0.19,0.02,0.03
2020_03_02,0.688,0.238,0.048,0.026
2020_03_03,0.738,0.196,0.03,0.036
2020_03_04,0.682,0.242,0.036,0.04
2020_03_05,0.634,0.276,0.034,0.056
2020_03_06,0.59,0.342,0.042,0.026
2020_03_07,0.692,0.25,0.034,0.024
2020_03_08,0.68,0.25,0.046,0.024
2020_03_09,0.704,0.238,0.032,0.026
2020_03_10,0.768,0.176,0.032,0.024
2020_03_11,0.72,0.188,0.05,0.042
2020_03_12,0.822,0.13,0.026,0.022
2020_03_13,0.802,0.15,0.022,0.026
2020_03_14,0.762,0.166,0.036,0.036
2020_03_15,0.79,0.158,0.03,0.022
2020_03_16,0.782,0.156,0.03,0.032
2020_03_17,0.754,0.206,0.02,0.02
2020_03_18,0.728,0.22,0.032,0.02
2020_03_19,0.734,0.206,0.044,0.016
2020_03_20,0.674,0.258,0.032,0.036
2020_03_21,0.726,0.228,0.026,0.02
2020_03_22,0.756,0.192,0.024,0.028
2020_03_23,0.722,0.216,0.034,0.028
2020_03_24,0.728,0.21,0.036,0.026
2020_03_25,0.7,0.236,0.026,0.038
2020_03_26,0.696,0.226,0.062,0.016
2020_03_27,0.728,0.222,0.022,0.028
2020_03_28,0.7,0.22,0.034,0.046
2020_03_29,0.748,0.172,0.052,0.028
2020_03_30,0.664,0.228,0.04,0.068
2020_03_31,0.728,0.204,0.042,0.026
2020_04_01,0.722,0.212,0.04,0.026
2020_04_02,0.698,0.238,0.036,0.028
2020_04_03,0.718,0.23,0.03,0.022
2020_04_04,0.708,0.218,0.036,0.038
2020_04_05,0.726,0.218,0.026,0.03
2020_04_06,0.688,0.238,0.02,0.054
2020_04_07,0.638,0.284,0.05,0.028
2020_04_08,0.72,0.226,0.036,0.018
2020_04_09,0.75,0.208,0.028,0.014
2020_04_10,0.716,0.208,0.046,0.03
2020_04_11,0.76,0.184,0.026,0.03
2020_04_12,0.682,0.236,0.038,0.044
2020_04_13,0.736,0.188,0.028,0.048
