date,content
01/02/2020,"('singapore', 274)
('wuhan', 112)
('china', 107)
('cases', 82)
('#singapore', 61)
('spread', 53)
('coronavirus:', 49)
('singapore,', 42)
('confirmed', 41)
('sg', 40)
('chinese', 39)
('people', 34)
('2', 34)
('flights', 32)
('travel', 32)
('bans', 32)
('masks', 31)
('countries', 31)
('passengers', 26)
('visitors', 23)
"
02/02/2020,"('singapore', 164)
('wuhan', 92)
('cases', 67)
('china', 63)
('people', 41)
('confirmed', 36)
('18', 35)
('spread', 33)
('singapore,', 32)
('#singapore', 32)
('virus:', 30)
('travel', 27)
('mask', 27)
('countries', 26)
('sg', 25)
('15', 25)
('coronavirus:', 24)
('japan,', 22)
('chinese', 22)
('2', 17)
"
03/02/2020,"('singapore', 297)
('airshow', 70)
('exhibitors', 57)
('coronavirus:', 56)
('wuhan', 55)
('china', 51)
('people', 50)
('novel', 49)
('singapore,', 49)
('cases', 45)
('#singapore', 44)
('pull', 43)
('confirmed', 31)
('524', 27)
('quarantine', 27)
('sg', 27)
('outbreak', 27)
('masks', 26)
('travel', 25)
('spread', 24)
"
04/02/2020,"('singapore', 292)
('cases', 240)
('local', 109)
('6', 77)
('4', 68)
('novel', 58)
('#singapore', 51)
('confirmed', 50)
('china', 49)
('transmission', 48)
('case', 41)
('reports', 40)
('locally', 39)
('24', 39)
('transmitted', 36)
('singapore,', 34)
('coronavirus:', 34)
('announces', 34)
('chinese', 32)
('wuhan', 30)
"
05/02/2020,"('singapore', 328)
('cases', 174)
('linked', 74)
('business', 71)
('confirms', 66)
('4', 64)
('infected', 48)
('coronavirus:', 45)
('baby', 45)
('meeting', 44)
('three', 43)
('including', 43)
('6-month-old', 43)
('china', 43)
('28', 40)
('confirmed', 38)
('cases,', 38)
('#singapore', 35)
('3', 34)
('infant', 32)
"
06/02/2020,"('singapore', 256)
('coronavirus:', 93)
('uk', 91)
('third', 89)
('cases', 81)
('news', 70)
(""singapore'"", 68)
('2', 66)
('patient', 64)
('confirmed', 63)
('national', 57)
('british', 54)
('case', 46)
(""'caught"", 45)
('confirms', 45)
('disease', 41)
('–', 40)
('#singapore', 39)
('china', 37)
(""'travelled"", 35)
"
07/02/2020,"('singapore', 324)
('alert', 111)
('level', 76)
('cases', 73)
('sars', 62)
('raises', 59)
('panic', 55)
('coronavirus:', 52)
('buying', 48)
('orange', 47)
('outbreak', 45)
('people', 44)
('level,', 41)
('#singapore', 40)
('sg', 37)
('lifts', 36)
('sparking', 36)
('spread', 32)
('china', 31)
('wuhan', 29)
"
08/02/2020,"('singapore', 286)
('cases', 165)
('7', 84)
('singapore,', 65)
('france', 52)
('uk', 50)
('#singapore', 48)
('taxi', 41)
('confirms', 41)
('including', 40)
('french', 39)
('victims', 39)
('leads', 39)
('trail', 37)
('confirmed', 37)
('infected', 35)
('private-hire', 34)
('hunt', 34)
('cases,', 33)
('people', 33)
"
09/02/2020,"('singapore', 306)
('cases', 204)
('3', 70)
('singapore,', 62)
('conference', 60)
('confirmed', 55)
('#singapore', 51)
('spreads', 47)
('fallout', 39)
('china', 36)
('infected', 36)
('6', 36)
('people', 35)
('europe', 35)
('three', 35)
('43', 32)
('4', 31)
('outbreak', 29)
('amid', 29)
('airshow', 28)
"
10/02/2020,"('singapore', 330)
('cases', 67)
('spread', 48)
('#singapore', 48)
('people', 46)
('uk', 45)
('singapore,', 42)
('china', 40)
('france', 35)
('outbreak', 33)
('conference', 31)
('british', 28)
('airshow', 27)
('2', 25)
('wuhan', 25)
('quarantine', 22)
('asia', 22)
('confirmed', 20)
('growth', 20)
('brought', 20)
"
11/02/2020,"('singapore', 321)
('cases', 120)
('uk', 60)
('singapore,', 54)
('traveling', 45)
('#singapore', 43)
('hong', 43)
('people', 42)
('linked', 41)
('china', 36)
('spread', 35)
('coronavirus:', 33)
('travel', 32)
('outbreak', 31)
('france', 30)
('british', 28)
('kong', 27)
('infected', 26)
('health', 26)
('number', 26)
"
12/02/2020,"('singapore', 320)
('bank', 121)
('cases', 97)
('evacuated', 69)
('coronavirus:', 68)
('worker', 62)
('falls', 58)
('#singapore', 57)
('300', 49)
('dbs', 45)
('staff', 42)
('office', 41)
('confirmed', 41)
('case', 39)
('news', 38)
('china', 35)
('singapore,', 30)
('#covid19', 30)
('clears', 28)
('outbreak', 27)
"
13/02/2020,"('singapore', 290)
('cases', 127)
('spread', 98)
('singapore,', 69)
('hunt', 54)
('globally', 54)
('coronavirus:', 52)
('hong', 51)
('#singapore', 48)
(""'patient"", 44)
(""zero'"", 44)
('linked', 41)
('#covid19', 40)
('kong', 38)
('58', 34)
('sevens', 34)
('rugby', 31)
('vulnerable', 30)
('8', 30)
('china', 28)
"
14/02/2020,"('singapore', 312)
('cases', 108)
('#singapore', 61)
('#covid19', 50)
('singapore,', 37)
('coronavirus:', 36)
('spread', 33)
('confirmed', 32)
('people', 32)
('hong', 31)
('outbreak', 31)
('china', 29)
('health', 24)
('#coronavirusoutbreak', 23)
('church', 23)
('recession', 22)
('infected', 22)
('travel', 21)
('kong', 21)
('singapore.', 20)
"
15/02/2020,"('singapore', 303)
('cases', 132)
('singapore,', 63)
('5', 60)
('#singapore', 57)
('#covid19', 53)
('coronavirus:', 38)
('linked', 37)
('outbreak', 36)
('confirmed', 32)
('spread', 28)
('china', 27)
('grace', 27)
('confirms', 27)
('people', 26)
('singapore.', 26)
('hong', 25)
('travel', 25)
('assembly', 25)
('patient', 25)
"
16/02/2020,"('singapore', 295)
('cases', 116)
('#singapore', 71)
('#covid19', 53)
('singapore,', 53)
('hong', 42)
('stimulus', 40)
('confirmed', 39)
('3', 35)
('three', 33)
('budget', 33)
('economic', 32)
('linked', 31)
('counter', 31)
('total', 30)
('china', 30)
('coronavirus:', 30)
('kong', 28)
('health', 27)
('outbreak', 26)
"
17/02/2020,"('singapore', 310)
('cases', 90)
('#singapore', 63)
('#covid19', 53)
('recession', 51)
('china', 45)
('cruise', 40)
('2', 35)
('ship', 35)
('japan,', 33)
('singapore,', 32)
('hong', 30)
('outbreak', 29)
('wuhan', 28)
('looms', 28)
('feb', 26)
('coronavirus:', 26)
('case', 26)
('|', 23)
('kong', 23)
"
18/02/2020,"('singapore', 322)
('cases', 72)
('#singapore', 57)
('outbreak', 54)
('airlines', 46)
('flights', 44)
('#covid19', 43)
('billion', 42)
('budget', 35)
('4', 35)
('singapore,', 29)
('demand', 26)
('help', 26)
('amid', 24)
('news', 23)
('coronavirus:', 23)
('package', 23)
('asia', 22)
('epidemic', 21)
('china', 21)
"
19/02/2020,"('singapore', 237)
('cases', 199)
('#singapore', 61)
('outbreak', 50)
('3', 50)
('singapore,', 46)
('#covid19', 41)
('hong', 41)
('total)\n-', 40)
('kong', 39)
(':', 33)
('japan', 32)
('singapore.', 30)
('case', 30)
(""singapore's"", 28)
('south', 27)
('confirmed', 26)
('(84', 26)
('china', 25)
('2', 25)
"
20/02/2020,"('singapore', 250)
('cases', 101)
(':', 69)
('#singapore', 66)
('singapore,', 47)
('hong', 41)
('#covid19', 39)
('playbook', 34)
('japan', 34)
('korea', 34)
(""singapore's"", 34)
('case', 33)
('china', 33)
('japan,', 31)
('south', 28)
('admired', 27)
('travel', 27)
('sg', 26)
('|', 23)
('coronavirus:', 22)
"
21/02/2020,"('singapore', 274)
('cases', 87)
('singapore,', 66)
('outbreak', 56)
('#singapore', 53)
('conference', 49)
('#covid19', 39)
('spread', 37)
('china', 36)
('south', 30)
(""singapore's"", 29)
('case', 29)
('international', 28)
('|', 28)
('left', 26)
('attendees', 25)
('sales', 25)
('confirmed', 25)
('korea', 25)
('them,', 23)
"
22/02/2020,"('singapore', 237)
('travel', 109)
('cases', 95)
('avoid', 83)
('non-essential', 75)
('coronavirus:', 59)
('#singapore', 57)
('citizens', 56)
('singapore,', 53)
('govt', 51)
('korea,', 48)
('asks', 42)
('clusters', 39)
('south', 39)
('hong', 36)
('#covid19', 35)
('conference', 34)
('iran,', 32)
('spread', 31)
('3', 30)
"
23/02/2020,"('singapore', 265)
('cases', 97)
('south', 58)
('people', 57)
('travel', 57)
('hong', 55)
('singapore,', 49)
('#singapore', 46)
('filipino', 43)
('#covid19', 42)
('positive', 36)
('korea,', 35)
('china,', 34)
('spread', 33)
('case', 32)
('singapore.', 31)
('kong,', 31)
('confirmed', 31)
('italy', 30)
('japan,', 29)
"
24/02/2020,"('singapore', 275)
('cases', 76)
('singapore,', 61)
('#singapore', 59)
('hong', 46)
('south', 39)
('china', 39)
('korea', 37)
('outbreak', 36)
('case', 35)
('#covid19', 35)
('travel', 30)
('italy', 28)
('confirmed', 25)
('china,', 24)
('2', 23)
('health', 21)
('kong', 21)
('countries', 21)
('filipino', 20)
"
25/02/2020,"('singapore', 273)
('singapore,', 80)
('cases', 64)
('south', 58)
('#singapore', 42)
('china', 39)
('outbreak', 37)
('spread', 35)
('flights', 34)
('japan', 34)
('travel', 33)
('#covid19', 33)
('visitors', 31)
('suspends', 30)
('health', 28)
('daegu', 25)
('kuwait', 25)
('2', 25)
('hong', 24)
('people', 24)
"
26/02/2020,"('singapore', 296)
('cases', 63)
('singapore,', 62)
('#singapore', 45)
('south', 37)
('people', 37)
('#covid19', 35)
('health', 31)
('lying', 31)
('2', 28)
('china', 27)
('china,', 25)
('mask', 24)
('travel', 23)
('hong', 23)
('japan,', 23)
('korea,', 23)
('confirmed', 21)
('outbreak', 21)
('quarantine', 21)
"
