date,Fear,Joy,Sadness,Surprise
2020_02_01,0.54,0.2,0.114,0.146
2020_02_02,0.586,0.198,0.076,0.14
2020_02_03,0.562,0.236,0.09,0.112
2020_02_04,0.568,0.228,0.082,0.122
2020_02_05,0.532,0.238,0.098,0.132
2020_02_06,0.542,0.21,0.132,0.116
2020_02_07,0.544,0.244,0.134,0.078
2020_02_08,0.542,0.224,0.114,0.12
2020_02_09,0.616,0.206,0.078,0.1
2020_02_10,0.588,0.19,0.098,0.124
2020_02_11,0.544,0.23,0.116,0.11
2020_02_12,0.574,0.24,0.088,0.098
2020_02_13,0.59,0.212,0.086,0.112
2020_02_14,0.512,0.26,0.098,0.13
2020_02_15,0.518,0.264,0.082,0.136
2020_02_16,0.614,0.23,0.08,0.076
2020_02_17,0.554,0.236,0.114,0.096
2020_02_18,0.558,0.256,0.08,0.106
2020_02_19,0.554,0.22,0.114,0.112
2020_02_20,0.514,0.244,0.114,0.128
2020_02_21,0.554,0.248,0.08,0.118
2020_02_22,0.624,0.194,0.074,0.108
2020_02_23,0.618,0.21,0.066,0.106
2020_02_24,0.694,0.176,0.06,0.07
2020_02_25,0.702,0.142,0.068,0.088
2020_02_26,0.676,0.094,0.058,0.172
2020_02_27,0.69,0.126,0.082,0.102
2020_02_28,0.634,0.136,0.088,0.142
2020_02_29,0.672,0.128,0.082,0.118
2020_03_01,0.64,0.174,0.076,0.11
2020_03_02,0.59,0.182,0.096,0.132
2020_03_03,0.6,0.166,0.094,0.14
2020_03_04,0.542,0.184,0.132,0.142
2020_03_05,0.534,0.202,0.114,0.15
2020_03_06,0.542,0.178,0.132,0.148
2020_03_07,0.566,0.184,0.098,0.152
2020_03_08,0.564,0.2,0.106,0.13
2020_03_09,0.596,0.186,0.1,0.118
2020_03_10,0.512,0.194,0.152,0.142
2020_03_11,0.528,0.192,0.146,0.134
2020_03_12,0.462,0.21,0.218,0.11
2020_03_13,0.446,0.28,0.132,0.142
2020_03_14,0.476,0.208,0.16,0.156
2020_03_15,0.502,0.232,0.146,0.12
2020_03_16,0.412,0.304,0.16,0.124
2020_03_17,0.446,0.276,0.158,0.12
2020_03_18,0.502,0.268,0.134,0.096
2020_03_19,0.444,0.246,0.17,0.14
2020_03_20,0.396,0.346,0.166,0.092
2020_03_21,0.464,0.276,0.15,0.11
2020_03_22,0.482,0.234,0.17,0.114
2020_03_23,0.502,0.248,0.126,0.124
2020_03_24,0.432,0.288,0.156,0.124
2020_03_25,0.446,0.276,0.162,0.116
2020_03_26,0.464,0.32,0.134,0.082
2020_03_27,0.45,0.288,0.148,0.114
2020_03_28,0.43,0.272,0.192,0.106
2020_03_29,0.458,0.268,0.17,0.104
2020_03_30,0.434,0.292,0.156,0.118
2020_03_31,0.452,0.28,0.138,0.13
2020_04_01,0.408,0.27,0.192,0.13
2020_04_02,0.422,0.294,0.158,0.126
2020_04_03,0.478,0.228,0.15,0.144
2020_04_04,0.446,0.288,0.148,0.118
2020_04_05,0.488,0.282,0.1,0.13
2020_04_06,0.468,0.28,0.13,0.122
2020_04_07,0.436,0.284,0.172,0.108
2020_04_08,0.444,0.296,0.152,0.108
2020_04_09,0.458,0.284,0.158,0.1
2020_04_10,0.458,0.272,0.146,0.124
2020_04_11,0.392,0.286,0.176,0.146
2020_04_12,0.414,0.34,0.126,0.12
2020_04_13,0.474,0.254,0.146,0.126
2020_04_14,0.51,0.268,0.114,0.108
2020_04_15,0.44,0.276,0.168,0.116
2020_04_16,0.456,0.282,0.16,0.102
2020_04_17,0.434,0.298,0.13,0.138
2020_04_18,0.456,0.268,0.142,0.134
2020_04_19,0.5,0.228,0.152,0.12
2020_04_20,0.456,0.28,0.158,0.106
2020_04_21,0.438,0.306,0.156,0.1
2020_04_22,0.464,0.268,0.128,0.14
2020_04_23,0.488,0.248,0.146,0.118
2020_04_24,0.462,0.27,0.144,0.124
2020_04_25,0.48,0.276,0.14,0.104
2020_04_26,0.444,0.284,0.156,0.116
2020_04_27,0.486,0.262,0.132,0.12
2020_04_28,0.532,0.246,0.112,0.11
2020_04_29,0.462,0.264,0.168,0.106
2020_04_30,0.472,0.28,0.118,0.13
2020_05_01,0.478,0.266,0.118,0.138
2020_05_02,0.438,0.266,0.158,0.138
2020_05_03,0.504,0.25,0.122,0.124
2020_05_04,0.5,0.25,0.13,0.12
2020_05_05,0.468,0.234,0.156,0.142
2020_05_06,0.49,0.276,0.12,0.114
2020_05_07,0.414,0.25,0.19,0.146
2020_05_08,0.454,0.246,0.136,0.164
2020_05_09,0.482,0.26,0.118,0.14
2020_05_10,0.584,0.188,0.106,0.122
2020_05_11,0.478,0.23,0.136,0.156
2020_05_12,0.52,0.218,0.13,0.132
2020_05_13,0.512,0.264,0.118,0.106
2020_05_14,0.556,0.212,0.12,0.112
2020_05_15,0.502,0.232,0.152,0.114
2020_05_16,0.524,0.24,0.136,0.1
2020_05_17,0.53,0.234,0.142,0.094
2020_05_18,0.51,0.236,0.126,0.128
2020_05_19,0.492,0.22,0.15,0.138
2020_05_20,0.51,0.248,0.13,0.112
2020_05_21,0.524,0.24,0.106,0.13
2020_05_22,0.464,0.238,0.156,0.142
2020_05_23,0.502,0.262,0.126,0.11
2020_05_24,0.506,0.19,0.15,0.154
2020_05_25,0.578,0.204,0.112,0.106
2020_05_26,0.548,0.204,0.126,0.122
2020_05_27,0.548,0.224,0.116,0.112
2020_05_28,0.494,0.23,0.148,0.128
2020_05_29,0.512,0.248,0.106,0.134
2020_05_30,0.542,0.192,0.168,0.098
2020_05_31,0.528,0.218,0.166,0.088
