date,content
01/02/2020,"('case', 46)
('mask', 45)
('people', 34)
('confirmed', 30)
('boston', 28)
('i’m', 27)
('china', 25)
('flu', 20)
('it’s', 20)
('wuhan', 19)
('health', 17)
('chinese', 16)
('cases', 14)
('outbreak', 14)
('quarantine', 12)
('booster', 12)
('officials', 12)
('massachusetts', 11)
('day', 10)
('face', 10)
"
02/02/2020,"('mask', 58)
('people', 45)
('china', 39)
('it’s', 32)
('flu', 21)
('face', 20)
('i’m', 19)
('wuhan', 19)
('good', 16)
('trump', 15)
('wearing', 14)
('chinese', 13)
('death', 11)
('can’t', 11)
('quarantine', 11)
('deaths', 11)
('spread', 11)
('health', 11)
('masks', 11)
('great', 11)
"
03/02/2020,"('mask', 78)
('people', 46)
('china', 33)
('it’s', 21)
('i’m', 19)
('flu', 16)
('face', 16)
('chinese', 16)
('cases', 16)
('wearing', 15)
('wuhan', 13)
('vaccine', 12)
('spread', 12)
('health', 12)
('killed', 11)
('good', 11)
('can’t', 11)
('booster', 10)
('they’re', 10)
('hospital', 10)
"
04/02/2020,"('people', 55)
('mask', 52)
('china', 27)
('wuhan', 25)
('i’m', 23)
('it’s', 22)
('chinese', 22)
('flu', 20)
('face', 16)
('quarantine', 16)
('health', 15)
('😂', 14)
('y’all', 13)
('novel', 13)
('wearing', 11)
('booster', 11)
('outbreak', 11)
('shit', 10)
('lol', 10)
('news', 10)
"
05/02/2020,"('mask', 61)
('china', 38)
('people', 32)
('it’s', 20)
('i’m', 19)
('booster', 19)
('quarantine', 18)
('health', 14)
('good', 14)
('public', 14)
('case', 13)
('wuhan', 13)
('14', 13)
('trump', 13)
('news', 13)
('it.', 12)
('face', 12)
('confirmed', 11)
('global', 11)
('|', 11)
"
06/02/2020,"('mask', 46)
('wuhan', 45)
('people', 43)
('china', 36)
('hospital', 29)
('chinese', 29)
('it’s', 29)
('doctor', 28)
('wenliang', 24)
('whistleblower', 22)
('central', 22)
('i’m', 18)
('booster', 16)
('@googlenews', 15)
('death', 15)
('health', 14)
('good', 13)
('vaccine', 12)
('dies', 12)
('died,', 12)
"
07/02/2020,"('mask', 51)
('chinese', 44)
('china', 41)
('people', 37)
('doctor', 36)
('death', 34)
('warn', 29)
('rage', 24)
('it’s', 21)
('flu', 20)
('i’m', 19)
('cruise', 17)
('ship', 16)
('news', 15)
('pangolin', 15)
('spread', 15)
('wuhan', 14)
('outbreak', 14)
('quarantine', 13)
('deadly', 12)
"
08/02/2020,"('mask', 58)
('china', 36)
('people', 31)
('wuhan', 24)
('it’s', 23)
('face', 21)
('i’m', 15)
('flu', 14)
('health', 14)
('mask.', 14)
('@realdonaldtrump', 13)
('american', 13)
('chinese', 13)
('quarantine', 12)
('day', 11)
('good', 11)
('outbreak', 11)
('shit', 11)
('spread', 11)
('china.', 10)
"
09/02/2020,"('mask', 85)
('people', 61)
('china', 38)
('wuhan', 30)
('face', 27)
('it’s', 24)
('cruise', 21)
('chinese', 21)
('flu', 20)
('i’m', 17)
('ship', 16)
('quarantine', 16)
('booster', 16)
('today', 15)
('citizen', 14)
('missing', 14)
('vaccine', 14)
('journalist', 13)
('wear', 13)
('mask.', 13)
"
10/02/2020,"('mask', 78)
('people', 42)
('china', 26)
('face', 26)
('it’s', 23)
('i’m', 22)
('@hudsoninstitute', 22)
('@biocommission', 21)
('#ncov2019', 19)
('cases', 18)
('cruise', 17)
('outbreak', 17)
('health', 17)
('booster', 16)
('quarantine', 16)
('ship', 13)
('wuhan', 13)
('good', 11)
('trump', 11)
('sick', 11)
"
11/02/2020,"('mask', 49)
('people', 42)
('china', 26)
('it’s', 20)
('i’m', 19)
('quarantine', 18)
('face', 17)
('outbreak', 17)
('good', 16)
('flu', 16)
('#covid19', 14)
('coronavirus:', 13)
('threat', 13)
('rest', 13)
('wuhan', 12)
(""'very"", 12)
('grave', 12)
('chinese', 11)
('poses', 11)
('global', 10)
"
12/02/2020,"('mask', 54)
('china', 27)
('people', 25)
('it’s', 24)
('face', 22)
('i’m', 20)
('chinese', 17)
('vaccine', 17)
('death', 16)
('good', 16)
('coronavirus:', 14)
('outbreak', 14)
('health', 14)
('booster', 13)
('toll', 12)
('#covid19', 12)
('today', 11)
('rises', 11)
('cases', 11)
('y’all', 11)
"
13/02/2020,"('mask', 54)
('china', 38)
('people', 37)
('it’s', 26)
('i’m', 24)
('case', 21)
('cases', 17)
('health', 16)
('vaccine', 15)
('public', 14)
('flu', 13)
('today', 12)
('face', 12)
('kill', 12)
('quarantine', 12)
('@realdonaldtrump', 11)
('*****', 11)
('medical', 10)
('work', 10)
('chinese', 9)
"
14/02/2020,"('mask', 66)
('people', 28)
('day', 26)
('it’s', 21)
('i’m', 21)
('love', 20)
('china', 20)
('health', 20)
('vaccine', 18)
('good', 18)
('booster', 18)
('cdc', 17)
('happy', 16)
('outbreak', 15)
('quarantine', 14)
('wuhan', 14)
('face', 14)
('person', 12)
('spread', 12)
('chinese', 12)
"
15/02/2020,"('mask', 58)
('people', 34)
('china', 28)
('it’s', 26)
('vaccine', 26)
('quarantine', 20)
('face', 19)
('cruise', 19)
('good', 18)
('chinese', 16)
('i’m', 15)
('great', 12)
('today', 12)
('ship', 12)
('booster', 11)
('#covid19', 11)
('spread', 11)
('global', 11)
('@realdonaldtrump', 10)
('mask.', 10)
"
16/02/2020,"('mask', 40)
('hpv', 39)
('people', 38)
('chinese', 35)
('vaccine', 32)
('cruise', 29)
('ship', 28)
('china', 28)
('i’m', 23)
('it’s', 22)
('quarantine', 22)
('wuhan', 22)
('positive', 17)
('protects', 16)
('#covid19', 15)
('day', 15)
('doctors', 14)
('2020', 13)
('good', 12)
('hope', 12)
"
17/02/2020,"('mask', 54)
('china', 33)
('chinese', 26)
('i’m', 25)
('cruise', 24)
('people', 24)
('it’s', 21)
('ship', 19)
('cases', 17)
('quarantine', 15)
('vaccine', 13)
('booster', 13)
('face', 13)
('good', 13)
('flu', 12)
('#covid19', 12)
('apple', 12)
('trump', 12)
('novel', 11)
('2', 10)
"
18/02/2020,"('mask', 69)
('people', 39)
('china', 34)
('it’s', 24)
('quarantine', 23)
('cruise', 23)
('face', 22)
('ship', 21)
('wuhan', 20)
('i’m', 17)
('hospital', 16)
('outbreak', 16)
('kids', 16)
('booster', 14)
('health', 14)
('cases', 14)
('flu', 14)
('death', 13)
('start', 13)
('chinese', 13)
"
19/02/2020,"('mask', 85)
('people', 37)
('it’s', 32)
('i’m', 28)
('china', 25)
('health', 23)
('vaccine', 20)
('face', 18)
('good', 18)
('booster', 17)
('quarantine', 17)
('wuhan', 15)
('sick', 14)
('2', 14)
('wear', 13)
('chinese', 12)
('didn’t', 12)
('#covid19', 12)
('mask.', 12)
('work', 12)
"
20/02/2020,"('mask', 76)
('china', 33)
('people', 29)
('i’m', 23)
('booster', 22)
('it’s', 22)
('cruise', 18)
('outbreak', 17)
('vaccine', 16)
('health', 13)
('princess', 12)
('good', 11)
('patients', 11)
('die', 11)
('diamond', 11)
('passengers', 11)
('quarantine', 11)
('5', 10)
('face', 10)
('*', 10)
"
21/02/2020,"('mask', 55)
('people', 33)
('china', 27)
('#covid19', 26)
('it’s', 22)
('cases', 21)
('case', 20)
('i’m', 18)
('face', 17)
('vaccine', 16)
('confirmed', 15)
('health', 15)
('public', 14)
('cdc', 12)
('booster', 12)
('week', 11)
('americans', 11)
('coronavirus:', 10)
('hold', 10)
('wuhan', 10)
"
22/02/2020,"('mask', 65)
('people', 50)
('cases', 35)
('pandemic', 26)
('vaccine', 26)
('it’s', 25)
('trump', 25)
('#covid19', 21)
('i’m', 20)
('china', 20)
('infected', 20)
('global', 19)
('reported', 19)
('booster', 19)
('spread', 18)
('infections', 18)
('face', 17)
('chinese', 15)
('fears', 15)
('news', 13)
"
23/02/2020,"('mask', 42)
('people', 36)
('i’m', 30)
('face', 29)
('cases', 29)
('it’s', 29)
('@preetbharara', 25)
('trump', 23)
('infections', 22)
('health', 20)
('china', 19)
('reported', 19)
('italy', 18)
('south', 16)
('public', 16)
('spread', 16)
('chinese', 15)
('vaccine', 14)
('patients', 13)
('#covid_19', 12)
"
24/02/2020,"('people', 36)
('mask', 33)
('china', 31)
('@realdonaldtrump', 28)
('it’s', 28)
('i’m', 25)
('trump', 25)
('cases', 24)
('market', 23)
('stock', 20)
('points', 18)
('fears', 16)
('spread', 15)
('news', 15)
('italy', 15)
('global', 13)
('#covid19', 13)
('1,000', 13)
('chinese', 13)
('work', 12)
"
25/02/2020,"('trump', 38)
('people', 37)
('it’s', 31)
('spread', 26)
('i’m', 25)
('mask', 24)
('cdc', 23)
('health', 18)
('@realdonaldtrump', 18)
('good', 17)
('china', 16)
('#covidー19', 16)
('#covid19', 16)
('wash', 16)
('flu', 15)
('vaccine', 15)
('cases', 14)
('hands!', 13)
('gonna', 12)
('pandemic', 12)
"
26/02/2020,"('trump', 91)
('pence', 54)
('@realdonaldtrump', 39)
('charge', 35)
('president', 35)
('mike', 35)
('people', 26)
('i’m', 22)
('cases', 21)
('mask', 19)
('it’s', 19)
('vaccine', 18)
('he’s', 17)
('news', 16)
('press', 15)
('conference', 15)
('can’t', 14)
('health', 14)
('response', 14)
('briefing', 13)
"
27/02/2020,"('trump', 67)
('people', 40)
('pence', 30)
('mask', 24)
('it’s', 23)
('i’m', 22)
('@realdonaldtrump', 21)
('stock', 20)
('market', 20)
('cdc', 18)
('can’t', 17)
('vaccine', 16)
('spread', 16)
('health', 16)
('news', 15)
('china', 14)
('tested', 12)
('americans', 11)
('response', 11)
('wearing', 11)
"
28/02/2020,"('trump', 59)
('people', 39)
('mask', 24)
('i’m', 21)
('it’s', 19)
('cases', 19)
('beer', 18)
('americans', 18)
('@realdonaldtrump', 14)
('can’t', 13)
('case', 13)
('coronavirus?', 12)
('california', 12)
('spread', 12)
('face', 12)
('stock', 12)
('good', 12)
('pence', 11)
('democrats', 11)
('drink', 11)
"
29/02/2020,"('people', 53)
('trump', 44)
('@realdonaldtrump', 33)
('cases', 21)
('mask', 21)
('health', 19)
('death', 17)
('hoax', 16)
('i’m', 16)
('it’s', 16)
('flu', 15)
('spread', 15)
('china', 14)
('washington', 13)
('died', 13)
('president', 13)
('u.s.', 12)
('it.', 12)
('vaccine', 12)
('test', 12)
"
01/03/2020,"('people', 40)
('trump', 34)
('mask', 30)
('i’m', 26)
('@realdonaldtrump', 24)
('it’s', 23)
('flu', 21)
('cases', 20)
('face', 19)
('health', 17)
('news', 17)
('spread', 15)
('case', 14)
('good', 14)
('vaccine', 13)
('close', 12)
('person', 12)
('pence', 12)
('quarantine', 11)
('feel', 11)
"
